major,gpa,skills,internships,projects,leadership,career
Psychology,3.95,"Statistics,Communication,Leadership,Design,Data Analysis",0,1,2,Product Manager
Computer Science,3.08,"Design,Leadership",4,1,2,UX Researcher
Biology,3.83,"Leadership,Data Analysis",1,6,0,Data Scientist
Engineering,3.8,"Statistics,Project Management,Design",1,0,1,UX Researcher
Biology,3.04,"Project Management,Statistics,Leadership,Python,Data Analysis",3,2,1,Data Scientist
Engineering,2.71,"Python,Leadership",4,7,0,Software Engineer
Psychology,2.32,"Communication,Java,Leadership,Statistics,Project Management",0,9,1,Software Engineer
Computer Science,2.7,"Statistics,Communication",2,1,0,Data Scientist
Engineering,2.54,"Java,Python,Design",4,0,1,Software Engineer
Computer Science,2.37,"Communication,Java,Design",0,1,0,Software Engineer
Engineering,3.98,"Communication,Leadership",1,6,1,Product Manager
Computer Science,2.39,"Python,Communication,Design,Statistics,Project Management",2,1,2,Software Engineer
Computer Science,3.3,"Design,Python,Project Management,Java,Leadership",2,7,1,Software Engineer
Psychology,3.14,"Data Analysis,Statistics,Java,Design,Project Management",4,9,3,Software Engineer
Engineering,3.74,"Communication,Python,Project Management",3,0,0,Software Engineer
Psychology,3.26,"Project Management,Data Analysis,Design,Leadership,Java",3,4,0,Software Engineer
Engineering,2.93,"Project Management,Data Analysis,Python,Leadership,Statistics",0,4,1,Data Scientist
Computer Science,3.36,"Communication,Statistics,Project Management,Python,Design",2,1,0,Software Engineer
Psychology,2.46,"Communication,Java,Python,Data Analysis,Project Management",1,1,0,Data Scientist
Engineering,3.65,"Communication,Project Management",4,9,2,Data Scientist
Computer Science,2.31,"Java,Communication,Python,Project Management,Statistics",3,4,1,Software Engineer
Engineering,2.55,"Statistics,Design",0,4,2,UX Researcher
Psychology,2.75,"Project Management,Communication,Python,Statistics,Design",4,4,0,ML Engineer
Biology,3.18,"Design,Statistics,Communication",2,7,3,Product Manager
Computer Science,2.67,"Project Management,Design",3,6,0,Data Scientist
Computer Science,2.06,"Communication,Python,Design,Statistics",1,3,1,Software Engineer
Mathematics,2.52,"Java,Statistics,Communication",1,7,0,Software Engineer
Biology,2.57,"Statistics,Design,Data Analysis,Leadership",4,5,3,UX Researcher
Psychology,2.14,"Data Analysis,Leadership,Design,Java",1,7,2,Consultant
Mathematics,2.89,"Java,Design,Python,Project Management",0,5,2,Software Engineer
Engineering,2.51,"Leadership,Data Analysis,Communication,Python",4,8,2,Data Scientist
Engineering,2.44,"Java,Python,Project Management",3,7,3,Software Engineer
Mathematics,3.28,"Communication,Java,Statistics",3,5,2,Software Engineer
Engineering,2.06,"Python,Design",3,8,0,Software Engineer
Engineering,3.69,"Project Management,Design,Java,Python,Communication",3,8,1,Software Engineer
Computer Science,3.21,"Leadership,Java,Data Analysis,Project Management,Statistics",4,4,1,Software Engineer
Engineering,3.97,"Communication,Python",2,8,0,Software Engineer
Engineering,2.96,"Leadership,Design,Data Analysis,Java,Statistics",3,3,0,Software Engineer
Business,2.65,"Communication,Data Analysis,Design",3,9,1,UX Researcher
Biology,3.14,"Communication,Leadership,Python",2,2,2,Software Engineer
Biology,3.23,"Statistics,Data Analysis,Design,Leadership",3,6,2,UX Researcher
Biology,3.63,"Project Management,Design,Leadership",1,5,3,UX Researcher
Mathematics,2.96,"Project Management,Statistics,Leadership,Python",4,6,3,Software Engineer
Business,2.04,"Communication,Project Management,Java,Statistics",2,5,2,Software Engineer
Psychology,2.35,"Design,Data Analysis",3,7,1,Software Engineer
Psychology,2.06,"Data Analysis,Python,Leadership",1,2,2,Data Scientist
Engineering,3.25,"Project Management,Design,Communication,Java,Data Analysis",1,1,2,Software Engineer
Biology,2.98,"Data Analysis,Project Management,Java",0,8,0,Software Engineer
Engineering,3.31,"Java,Project Management,Design,Data Analysis",2,9,2,Software Engineer
Business,2.9,"Project Management,Java,Data Analysis,Communication,Leadership",0,8,3,Software Engineer
Psychology,2.07,"Data Analysis,Java",3,7,3,Consultant
Psychology,3.08,"Communication,Statistics,Leadership,Data Analysis,Python",1,0,2,Data Scientist
Engineering,2.63,"Project Management,Leadership",2,1,0,Product Manager
Business,2.69,"Python,Data Analysis,Java",3,6,3,ML Engineer
Mathematics,2.89,"Leadership,Project Management",2,9,1,Data Scientist
Business,3.74,"Statistics,Design,Leadership,Java,Project Management",2,4,3,Software Engineer
Business,2.7,"Data Analysis,Project Management,Communication",4,8,0,ML Engineer
Engineering,3.76,"Python,Leadership",4,8,2,Software Engineer
Engineering,2.75,"Communication,Java,Project Management",1,6,2,Software Engineer
Psychology,3.1,"Design,Statistics",2,7,1,UX Researcher
Business,2.93,"Data Analysis,Design,Project Management,Python",0,4,1,Data Scientist
Psychology,3.22,"Leadership,Python,Data Analysis,Communication,Java",4,4,2,ML Engineer
Psychology,3.91,"Statistics,Design,Java,Python,Leadership",1,3,3,Software Engineer
Biology,2.61,"Python,Statistics,Leadership,Design",0,3,1,Software Engineer
Engineering,2.25,"Data Analysis,Communication,Design,Project Management,Python",3,3,3,Data Scientist
Psychology,2.09,"Project Management,Communication,Python",0,9,3,Software Engineer
Mathematics,3.81,"Communication,Leadership,Design,Statistics,Data Analysis",2,3,3,Product Manager
Computer Science,2.19,"Design,Communication,Statistics,Data Analysis,Leadership",3,1,0,Product Manager
Computer Science,2.36,"Leadership,Design",4,8,1,UX Researcher
Engineering,3.19,"Statistics,Communication,Python",2,6,3,Software Engineer
Engineering,3.21,"Project Management,Data Analysis,Python",3,2,0,Data Scientist
Computer Science,3.23,"Leadership,Design",4,7,1,UX Researcher
Engineering,3.07,"Python,Communication",0,2,1,Software Engineer
Psychology,2.12,"Project Management,Statistics,Data Analysis,Python,Design",0,6,3,Data Scientist
Psychology,2.7,"Python,Java,Statistics,Design,Leadership",4,3,3,Software Engineer
Computer Science,3.68,"Python,Leadership",0,4,3,Software Engineer
Psychology,3.42,"Project Management,Data Analysis,Statistics",1,8,0,Data Scientist
Engineering,2.79,"Statistics,Python,Leadership,Design",3,4,3,Software Engineer
Computer Science,2.23,"Python,Statistics,Communication",2,6,3,Software Engineer
Mathematics,2.05,"Statistics,Python,Leadership,Design",1,8,0,UX Researcher
Biology,2.28,"Java,Python,Statistics,Data Analysis,Communication",0,4,1,Data Scientist
Computer Science,2.47,"Python,Design",1,5,3,Software Engineer
Biology,3.21,"Python,Communication,Java,Design",0,1,1,ML Engineer
Computer Science,2.86,"Project Management,Design",3,0,3,UX Researcher
Computer Science,2.47,"Data Analysis,Python,Java,Statistics,Design",1,4,3,Data Scientist
Engineering,2.74,"Data Analysis,Communication,Python,Java,Statistics",1,4,1,ML Engineer
Business,2.38,"Communication,Data Analysis",4,1,0,ML Engineer
Computer Science,2.22,"Java,Python,Project Management,Design,Communication",1,3,1,Software Engineer
Psychology,3.3,"Data Analysis,Project Management,Design,Java",1,0,0,Software Engineer
Computer Science,3.89,"Design,Data Analysis,Project Management",3,7,0,UX Researcher
Business,2.77,"Java,Leadership,Design",4,0,2,Software Engineer
Mathematics,2.08,"Statistics,Java,Design,Communication",0,4,3,Software Engineer
Business,2.92,"Java,Python,Leadership,Statistics,Design",1,4,0,Software Engineer
Business,2.04,"Data Analysis,Statistics,Java,Leadership,Design",1,2,0,Software Engineer
Psychology,3.55,"Data Analysis,Communication",3,7,1,Consultant
Psychology,2.31,"Communication,Design,Data Analysis",3,9,0,UX Researcher
Psychology,2.48,"Java,Statistics",1,6,2,Software Engineer
Computer Science,3.09,"Python,Java",2,8,1,Software Engineer
Mathematics,2.33,"Design,Python",2,6,3,Software Engineer
Biology,3.08,"Communication,Java",3,8,3,Software Engineer
Business,3.12,"Statistics,Java,Design,Project Management,Data Analysis",1,1,2,Software Engineer
Mathematics,3.47,"Design,Statistics,Leadership,Communication",3,3,1,Product Manager
Business,2.07,"Data Analysis,Leadership",2,2,2,ML Engineer
Business,2.74,"Leadership,Statistics",4,5,3,Data Scientist
Business,3.24,"Java,Design,Data Analysis,Statistics,Project Management",3,2,3,Software Engineer
Business,3.12,"Python,Leadership,Communication,Data Analysis,Statistics",3,2,0,ML Engineer
Mathematics,3.49,"Statistics,Java,Python",0,6,0,Software Engineer
Psychology,2.13,"Design,Leadership,Java,Communication,Python",0,0,1,Software Engineer
Engineering,3.37,"Statistics,Project Management,Leadership,Java",3,9,1,Software Engineer
Engineering,2.05,"Java,Communication,Statistics",4,2,1,Data Scientist
Engineering,2.75,"Data Analysis,Statistics,Design,Java,Project Management",1,3,1,Software Engineer
Business,3.82,"Leadership,Data Analysis,Statistics,Java,Project Management",3,8,2,Software Engineer
Psychology,2.03,"Statistics,Python,Leadership,Data Analysis,Project Management",3,7,1,Data Scientist
Business,3.69,"Statistics,Java,Data Analysis",1,9,2,Software Engineer
Psychology,2.63,"Python,Project Management,Leadership,Communication",4,9,1,Software Engineer
Biology,3.46,"Communication,Python,Statistics",0,2,2,UX Researcher
Computer Science,2.37,"Design,Statistics",0,0,3,UX Researcher
Business,2.81,"Communication,Data Analysis,Java,Leadership",1,0,1,Software Engineer
Business,3.33,"Communication,Design",3,7,2,UX Researcher
Psychology,2.71,"Statistics,Design,Java,Communication",3,3,1,Software Engineer
Mathematics,3.32,"Project Management,Statistics,Java,Python,Leadership",1,0,2,Software Engineer
Biology,2.69,"Project Management,Design,Leadership,Statistics,Data Analysis",0,1,2,UX Researcher
Engineering,2.39,"Project Management,Data Analysis,Leadership,Design,Python",0,7,1,Data Scientist
Psychology,2.33,"Python,Communication,Statistics,Java,Design",0,0,2,Software Engineer
Mathematics,3.47,"Statistics,Java,Python,Design,Project Management",2,6,3,ML Engineer
Mathematics,3.34,"Leadership,Python",2,4,0,Software Engineer
Psychology,3.44,"Communication,Project Management,Python",4,8,3,Consultant
Engineering,3.52,"Project Management,Statistics",1,5,2,Consultant
Business,2.49,"Communication,Statistics,Data Analysis,Leadership,Python",1,8,2,Data Scientist
Computer Science,2.87,"Project Management,Statistics,Java,Data Analysis,Communication",2,2,0,Software Engineer
Business,2.65,"Data Analysis,Java,Leadership,Statistics,Python",2,3,1,Data Scientist
Mathematics,2.07,"Java,Data Analysis",0,2,3,Software Engineer
Business,3.3,"Python,Leadership,Communication",3,4,3,Software Engineer
Engineering,3.95,"Leadership,Project Management,Java",0,2,1,Data Scientist
Engineering,3.61,"Java,Project Management,Communication,Data Analysis,Python",3,2,2,Data Scientist
Mathematics,3.08,"Data Analysis,Java,Leadership,Communication,Statistics",2,4,2,Software Engineer
Biology,3.49,"Project Management,Leadership,Design,Python,Java",0,7,2,Software Engineer
Mathematics,3.68,"Python,Leadership,Java,Statistics,Project Management",4,4,0,Software Engineer
Mathematics,3.2,"Java,Communication",1,7,3,Software Engineer
Mathematics,3.39,"Leadership,Statistics,Java,Data Analysis,Python",4,5,3,ML Engineer
Computer Science,3.41,"Python,Data Analysis,Java,Leadership,Design",4,2,1,Data Scientist
Engineering,3.49,"Communication,Data Analysis",3,5,1,Product Manager
Psychology,2.94,"Statistics,Design",4,3,3,UX Researcher
Mathematics,2.01,"Statistics,Java,Project Management",4,4,0,Software Engineer
Business,2.59,"Data Analysis,Java,Communication",4,2,2,Software Engineer
Computer Science,2.06,"Communication,Java,Leadership,Python,Statistics",4,0,3,Software Engineer
Psychology,3.76,"Java,Data Analysis",1,6,3,Software Engineer
Computer Science,3.27,"Project Management,Data Analysis,Statistics,Java",3,0,2,Software Engineer
Mathematics,2.24,"Data Analysis,Leadership,Java,Statistics,Design",0,6,1,Software Engineer
Computer Science,3.29,"Communication,Python,Statistics,Project Management",0,6,3,Software Engineer
Biology,2.24,"Statistics,Project Management,Communication",3,2,2,Data Scientist
Mathematics,2.8,"Communication,Java",3,4,1,UX Researcher
Engineering,2.16,"Python,Data Analysis",2,2,3,Data Scientist
Engineering,3.16,"Project Management,Java,Statistics",1,7,3,Software Engineer
Psychology,2.09,"Design,Leadership",1,2,2,UX Researcher
Engineering,2.82,"Data Analysis,Project Management",3,0,0,Data Scientist
Engineering,3.06,"Python,Statistics",2,1,1,Software Engineer
Mathematics,2.58,"Design,Data Analysis",3,1,3,UX Researcher
Mathematics,2.58,"Project Management,Data Analysis,Java,Statistics",4,4,0,Software Engineer
Business,2.34,"Python,Leadership",4,2,1,Software Engineer
Biology,3.35,"Design,Java",4,2,0,Software Engineer
Engineering,2.41,"Statistics,Project Management",1,2,0,Data Scientist
Psychology,3.71,"Leadership,Project Management",4,5,0,Consultant
Psychology,2.12,"Data Analysis,Statistics,Leadership,Project Management,Java",2,2,1,UX Researcher
Psychology,3.73,"Design,Leadership,Project Management,Python",2,8,2,Software Engineer
Engineering,3.79,"Project Management,Leadership,Python,Design",0,7,3,Software Engineer
Computer Science,3.69,"Java,Communication,Python,Leadership,Statistics",4,6,3,Software Engineer
Biology,3.38,"Project Management,Python,Leadership,Communication",3,1,0,Software Engineer
Biology,3.91,"Communication,Leadership,Statistics,Python",2,0,3,Software Engineer
Computer Science,2.14,"Design,Java",2,1,2,Software Engineer
Computer Science,3.45,"Python,Java,Statistics",3,1,0,Product Manager
Biology,2.6,"Project Management,Data Analysis,Leadership,Communication,Design",1,1,1,Product Manager
Psychology,3.73,"Communication,Leadership,Python,Java",4,6,0,Software Engineer
Biology,3.96,"Design,Communication",0,6,2,Data Scientist
Business,3.64,"Python,Data Analysis,Leadership",4,7,2,Data Scientist
Mathematics,3.83,"Data Analysis,Python,Statistics,Leadership,Project Management",2,8,3,Data Scientist
Computer Science,3.02,"Leadership,Communication,Project Management",0,5,0,ML Engineer
Psychology,2.2,"Leadership,Design",2,2,0,UX Researcher
Psychology,3.35,"Design,Communication",1,6,0,UX Researcher
Mathematics,2.37,"Leadership,Java,Design,Statistics,Project Management",0,4,3,Software Engineer
Psychology,4.0,"Project Management,Java",1,2,3,Software Engineer
Computer Science,2.37,"Data Analysis,Statistics",0,3,0,Data Scientist
Mathematics,2.59,"Python,Design,Leadership,Data Analysis,Java",3,4,3,ML Engineer
Psychology,2.17,"Statistics,Project Management,Communication,Java",4,4,1,Software Engineer
Mathematics,3.82,"Leadership,Project Management,Statistics",0,5,3,Data Scientist
Engineering,3.76,"Leadership,Statistics,Data Analysis",0,7,3,Product Manager
Biology,2.03,"Data Analysis,Communication,Leadership,Project Management",4,8,0,Product Manager
Psychology,3.28,"Design,Java,Statistics,Python,Communication",2,8,3,Software Engineer
Computer Science,2.58,"Java,Leadership",1,1,3,Software Engineer
Psychology,2.95,"Data Analysis,Design,Statistics",3,5,0,UX Researcher
Business,2.39,"Leadership,Communication,Design",2,4,3,Product Manager
Psychology,3.29,"Java,Leadership",0,1,1,Software Engineer
Mathematics,2.99,"Statistics,Communication",4,9,0,Consultant
Biology,3.86,"Communication,Python,Statistics",4,7,3,UX Researcher
Computer Science,2.27,"Design,Python,Statistics,Project Management",3,2,3,Product Manager
Business,3.05,"Statistics,Design,Communication,Project Management,Java",1,9,1,Software Engineer
Engineering,3.46,"Communication,Leadership",4,9,3,Product Manager
Psychology,2.49,"Design,Leadership",4,5,3,UX Researcher
Business,3.57,"Statistics,Leadership,Design,Python,Data Analysis",1,6,3,ML Engineer
Engineering,2.06,"Data Analysis,Design,Python,Project Management",2,1,2,Data Scientist
Computer Science,3.27,"Java,Communication,Project Management,Python,Statistics",1,0,1,ML Engineer
Psychology,3.15,"Data Analysis,Leadership,Project Management",3,3,2,Data Scientist
Computer Science,2.08,"Leadership,Data Analysis,Statistics",4,3,0,Data Scientist
Engineering,2.86,"Project Management,Python,Design,Communication,Leadership",1,7,0,Software Engineer
Psychology,3.65,"Data Analysis,Project Management,Design,Python,Leadership",2,6,1,Data Scientist
Psychology,2.59,"Java,Statistics,Project Management,Communication",3,1,0,Software Engineer
Business,3.65,"Java,Design,Statistics",4,8,0,Software Engineer
Psychology,3.05,"Communication,Statistics",2,5,2,Data Scientist
Psychology,2.45,"Project Management,Java,Data Analysis,Design",1,4,0,Software Engineer
Engineering,2.36,"Leadership,Python,Java",4,7,0,Software Engineer
Business,3.42,"Communication,Project Management,Data Analysis,Leadership",1,5,0,Product Manager
Psychology,3.26,"Java,Communication,Data Analysis,Statistics",2,3,0,Data Scientist
Engineering,3.61,"Data Analysis,Communication,Project Management,Design",0,8,0,UX Researcher
Psychology,3.96,"Java,Design,Data Analysis,Leadership",0,0,2,Software Engineer
Psychology,3.57,"Design,Statistics,Project Management,Leadership,Data Analysis",1,0,1,UX Researcher
Psychology,3.12,"Java,Communication",0,4,2,Software Engineer
Mathematics,3.92,"Design,Python,Java",3,3,3,Software Engineer
Biology,3.35,"Communication,Python",2,1,3,Software Engineer
Psychology,2.37,"Communication,Java,Python,Project Management,Statistics",0,4,0,ML Engineer
Biology,2.49,"Communication,Leadership",1,6,3,UX Researcher
Biology,3.47,"Project Management,Java,Python,Communication",1,9,0,Data Scientist
Biology,3.04,"Data Analysis,Python",4,1,1,Data Scientist
Computer Science,2.8,"Leadership,Communication,Design,Project Management",1,5,1,Product Manager
Engineering,2.15,"Design,Java,Statistics",2,1,1,Software Engineer
Biology,3.93,"Project Management,Leadership,Statistics,Communication",2,3,2,Product Manager
Mathematics,2.35,"Statistics,Design,Communication,Data Analysis",2,4,2,UX Researcher
Psychology,3.4,"Java,Statistics",0,3,2,UX Researcher
Computer Science,3.68,"Data Analysis,Leadership,Communication",1,2,3,Product Manager
Computer Science,2.87,"Project Management,Statistics,Java,Design",3,0,2,Software Engineer
Business,3.4,"Design,Java",3,0,0,Software Engineer
Engineering,2.5,"Statistics,Python,Communication,Design,Project Management",2,1,1,Data Scientist
Business,3.61,"Design,Python,Project Management,Java",2,7,2,Software Engineer
Computer Science,3.84,"Project Management,Java,Design",4,8,1,Software Engineer
Mathematics,2.82,"Python,Statistics,Leadership",2,4,2,Software Engineer
Business,3.0,"Design,Project Management,Statistics,Communication,Leadership",4,5,3,Software Engineer
Engineering,2.82,"Java,Data Analysis,Statistics",0,9,3,Software Engineer
Engineering,3.63,"Design,Java,Statistics,Python,Leadership",1,6,0,Software Engineer
Business,3.66,"Python,Data Analysis",0,9,1,ML Engineer
Mathematics,2.79,"Statistics,Communication,Project Management,Java",0,6,3,Software Engineer
Computer Science,2.03,"Python,Data Analysis",4,0,2,Data Scientist
Biology,3.58,"Leadership,Communication,Data Analysis",1,2,1,Product Manager
Psychology,3.16,"Design,Project Management,Leadership",2,5,2,UX Researcher
Engineering,3.11,"Statistics,Communication,Java,Leadership",1,0,0,Software Engineer
Engineering,3.09,"Project Management,Data Analysis",1,0,2,ML Engineer
Computer Science,3.36,"Data Analysis,Communication,Java",2,8,2,Software Engineer
Mathematics,3.26,"Project Management,Data Analysis,Leadership,Design,Statistics",0,5,3,UX Researcher
Psychology,2.67,"Communication,Python",4,2,2,Software Engineer
Biology,3.3,"Leadership,Statistics,Python",3,3,0,Data Scientist
Business,3.03,"Project Management,Design,Python",2,2,1,Software Engineer
Engineering,3.41,"Design,Python,Leadership,Java,Project Management",2,1,1,Software Engineer
Computer Science,2.01,"Data Analysis,Project Management,Design,Statistics,Communication",1,4,3,UX Researcher
Business,3.52,"Python,Java,Design,Statistics",0,5,0,Software Engineer
Engineering,2.87,"Python,Data Analysis,Project Management",3,9,0,ML Engineer
Engineering,2.37,"Leadership,Python",0,9,1,Software Engineer
Engineering,3.64,"Leadership,Java,Communication",2,0,1,Software Engineer
Psychology,2.93,"Project Management,Design,Python",3,6,2,Software Engineer
Psychology,3.55,"Design,Java,Data Analysis,Leadership,Statistics",4,4,3,Software Engineer
Mathematics,3.26,"Project Management,Statistics,Leadership",4,5,1,Data Scientist
Engineering,3.63,"Java,Python",2,9,2,Product Manager
Mathematics,2.64,"Project Management,Python,Java,Design",3,4,2,Software Engineer
Biology,3.83,"Python,Leadership",4,4,0,Software Engineer
Computer Science,2.14,"Communication,Design",0,3,3,UX Researcher
Engineering,3.86,"Project Management,Java,Python,Design",1,3,1,Software Engineer
Psychology,3.88,"Python,Design,Communication",1,7,2,UX Researcher
Mathematics,2.11,"Communication,Design,Data Analysis,Leadership",3,0,2,Product Manager
Biology,2.91,"Project Management,Data Analysis,Statistics,Communication",0,6,2,Data Scientist
Psychology,2.91,"Python,Statistics,Java,Leadership,Communication",4,1,0,Software Engineer
Business,3.84,"Design,Java,Python",1,0,3,Software Engineer
Biology,3.32,"Communication,Java,Statistics,Python",0,2,2,Software Engineer
Business,3.38,"Java,Project Management,Data Analysis,Design",3,0,0,Consultant
Mathematics,2.17,"Python,Design,Data Analysis,Leadership",1,5,3,Data Scientist
Mathematics,3.06,"Leadership,Project Management",3,9,2,UX Researcher
Mathematics,2.6,"Python,Project Management,Statistics,Data Analysis,Communication",1,6,2,Data Scientist
